806/05/2015
75;7;0;020
75;8;0;020
75;9;0;020
75;10;0;020
75;11;0;020
75;12;0;020
75;13;0;020
75;14;0;020
97;0;0;020
97;15;0;020
47;0;2;2C
47;15;2;2C
80;7;2;2C
80;8;2;2C
80;9;2;2C
80;10;2;2C
80;11;2;2C
80;12;2;2C
80;13;2;2C
80;14;2;2C
47;0;0;2D
47;15;0;2D
80;7;0;2D
80;8;0;2D
80;9;0;2D
80;10;0;2D
80;11;0;2D
80;12;0;2D
80;13;0;2D
80;14;0;2D
47;0;2;2E
47;15;2;2E
80;7;2;2E
80;8;2;2E
80;9;2;2E
80;10;2;2E
80;11;2;2E
80;12;2;2E
80;13;2;2E
80;14;2;2E
47;0;0;2F
47;15;0;2F
80;7;0;2F
80;8;0;2F
80;9;0;2F
80;10;0;2F
80;11;0;2F
80;12;0;2F
80;13;0;2F
80;14;0;2F
97;0;0;2K
97;15;0;2K
75;7;0;2L
75;8;0;2L
75;9;0;2L
75;10;0;2L
75;11;0;2L
75;12;0;2L
75;13;0;2L
75;14;0;2L
40;0;0;2M
40;15;0;2M
77;7;0;2M
77;8;0;2M
77;9;0;2M
77;10;0;2M
77;11;0;2M
77;12;0;2M
77;13;0;2M
77;14;0;2M
95;7;2;3C
95;8;2;3C
95;9;2;3C
95;10;2;3C
95;11;2;3C
95;12;2;3C
95;13;2;3C
95;14;2;3C
96;0;2;3C
96;15;2;3C
95;7;0;3D
95;8;0;3D
95;9;0;3D
95;10;0;3D
95;11;0;3D
95;12;0;3D
95;13;0;3D
95;14;0;3D
96;0;0;3D
96;15;0;3D
100;11;0;4J
100;12;0;4J
100;13;0;4J
100;14;0;4J
100;16;0;4J
100;17;0;4J
