806/05/2015
100;1;1
100;1;2
100;1;3
100;1;4
100;1;5
100;1;6
100;1;7
100;1;8
100;1;9
100;1;10
100;1;11
100;1;12
100;1;13
100;2;1
100;2;2
100;2;3
100;2;4
100;2;5
100;2;6
100;2;7
100;2;8
100;2;9
100;2;10
100;2;11
100;2;12
100;2;13
100;3;1
100;3;2
100;3;3
100;3;4
100;3;5
100;3;6
100;3;7
100;3;8
100;3;9
100;3;10
100;3;11
100;3;12
100;3;13
100;4;1
100;4;2
100;4;3
100;4;4
100;4;5
100;4;6
100;4;7
100;4;8
100;4;9
100;4;10
100;4;11
100;4;12
100;4;13
100;5;1
100;5;2
100;5;3
100;5;4
100;5;5
100;5;6
100;5;7
100;5;8
100;5;9
100;5;10
100;5;11
100;5;12
100;5;13
100;12;1
100;12;2
100;12;3
100;12;4
100;12;5
100;12;6
100;12;7
100;12;8
100;12;9
100;12;10
100;12;11
100;12;12
100;12;13
100;13;1
100;13;2
100;13;3
100;13;4
100;13;5
100;13;6
100;13;7
100;13;8
100;13;9
100;13;10
100;13;11
100;13;12
100;13;13
40;1;1
40;1;2
40;1;3
40;1;4
40;1;5
40;1;6
40;1;7
40;1;12
40;1;13
40;2;1
40;2;2
40;2;3
40;2;4
40;2;5
40;2;6
40;2;7
40;2;12
40;2;13
40;3;1
40;3;2
40;3;3
40;3;4
40;3;5
40;3;6
40;3;7
40;3;12
40;3;13
40;4;1
40;4;2
40;4;3
40;4;4
40;4;5
40;4;6
40;4;7
40;4;12
40;4;13
40;5;1
40;5;2
40;5;3
40;5;4
40;5;5
40;5;6
40;5;7
40;5;12
40;5;13
40;12;1
40;12;2
40;12;3
40;12;4
40;12;5
40;12;6
40;12;7
40;12;12
40;12;13
40;13;1
40;13;2
40;13;3
40;13;4
40;13;5
40;13;6
40;13;7
40;13;12
40;13;13
47;1;1
47;1;2
47;1;3
47;1;4
47;1;5
47;1;6
47;1;7
47;1;8
47;1;9
47;1;10
47;1;11
47;1;12
47;1;13
47;2;1
47;2;2
47;2;3
47;2;4
47;2;5
47;2;6
47;2;7
47;2;8
47;2;9
47;2;10
47;2;11
47;2;12
47;2;13
47;3;1
47;3;2
47;3;3
47;3;4
47;3;5
47;3;6
47;3;7
47;3;8
47;3;9
47;3;10
47;3;11
47;3;12
47;3;13
47;4;1
47;4;2
47;4;3
47;4;4
47;4;5
47;4;6
47;4;7
47;4;8
47;4;9
47;4;10
47;4;11
47;4;12
47;4;13
47;5;1
47;5;2
47;5;3
47;5;4
47;5;5
47;5;6
47;5;7
47;5;8
47;5;9
47;5;10
47;5;11
47;5;12
47;5;13
47;12;1
47;12;2
47;12;3
47;12;4
47;12;5
47;12;6
47;12;7
47;12;8
47;12;9
47;12;10
47;12;11
47;12;12
47;12;13
47;13;1
47;13;2
47;13;3
47;13;4
47;13;5
47;13;6
47;13;7
47;13;8
47;13;9
47;13;10
47;13;11
47;13;12
47;13;13
75;1;1
75;1;2
75;1;3
75;1;4
75;1;5
75;1;6
75;1;7
75;1;12
75;1;13
75;2;1
75;2;2
75;2;3
75;2;4
75;2;5
75;2;6
75;2;7
75;2;12
75;2;13
75;3;1
75;3;2
75;3;3
75;3;4
75;3;5
75;3;6
75;3;7
75;3;12
75;3;13
75;4;1
75;4;2
75;4;3
75;4;4
75;4;5
75;4;6
75;4;7
75;4;12
75;4;13
75;5;1
75;5;2
75;5;3
75;5;4
75;5;5
75;5;6
75;5;7
75;5;12
75;5;13
75;12;1
75;12;2
75;12;3
75;12;4
75;12;5
75;12;6
75;12;7
75;12;12
75;12;13
75;13;1
75;13;2
75;13;3
75;13;4
75;13;5
75;13;6
75;13;7
75;13;12
75;13;13
77;1;1
77;1;2
77;1;3
77;1;4
77;1;5
77;1;6
77;1;7
77;1;12
77;1;13
77;2;1
77;2;2
77;2;3
77;2;4
77;2;5
77;2;6
77;2;7
77;2;12
77;2;13
77;3;1
77;3;2
77;3;3
77;3;4
77;3;5
77;3;6
77;3;7
77;3;12
77;3;13
77;4;1
77;4;2
77;4;3
77;4;4
77;4;5
77;4;6
77;4;7
77;4;12
77;4;13
77;5;1
77;5;2
77;5;3
77;5;4
77;5;5
77;5;6
77;5;7
77;5;12
77;5;13
77;12;1
77;12;2
77;12;3
77;12;4
77;12;5
77;12;6
77;12;7
77;12;12
77;12;13
77;13;1
77;13;2
77;13;3
77;13;4
77;13;5
77;13;6
77;13;7
77;13;12
77;13;13
80;1;1
